challenge,1
the,1
retreat,1
of,1
the,1
lali,1
sosee,1
warns,1
the,1
ammi,1
the,1
wood,1
eating,1
animal,1
in,1
the,1
camp,1
of,1
the,1
ammi,1
the,1
ammi,1
breaking,1
through,1
the,1
ice,1
sosee,1
s,1
strategy,1
return,1
of,1
the,1
ammi,1
to,1
cocoanut,1
hill,1
chapter,1
i,1
illustration,1
about,1
ninety,1
years,1
after,1
the,1
fight,1
between,1
the,1
monkeys,1
and,1
snakes,1
on,1
cocoanut,1
hill,1
which,1
was,1
five,1
hundred,1
thousand,1
years,1
before,1
our,1
era,1
and,1
near,1
the,1
end,1
of,1
the,1
tertiary,1
age,1
sosee,1
was,1
sitting,1
on,1
a,1
limb,1
sucking,1
a,1
mango,1
when,1
koree,1
came,1
up,1
in,1
great,1
consternation,1
the,1
fat,1
baboon,1
from,1
across,1
the,1
swamp,1
he,1
said,1
has,1
carried,1
off,1
orlee,1
while,1
her,1
mother,1
was,1
hunting,1
berries,1
in,1
the,1
bushes,1
if,1
you,1
love,1
me,1
koree,1
replied,1
sosee,1
uttering,1
a,1
wild,1
scream,1
you,1
will,1
fetch,1
her,1
back,1
and,1
bring,1
me,1
the,1
tail,1
of,1
the,1
baboon,1
before,1
night,1
sosee,1
who,1
spoke,1
these,1
words,1
was,1
a,1
comely,1
girl,1
of,1
twelve,1
years,1
one,1
of,1
the,1
new,1
race,1
which,1
had,1
recently,1
separated,1
from,1
the,1
apes,1
and,1
would,1
no,1
longer,1
recognize,1
them,1
as,1
equals,1
there,1
was,1
a,1
hostility,1
between,1
the,1
apes,1
and,1
these,1
upstarts,1
and,1
frequent,1
incursions,1
were,1
made,1
from,1
the,1
territory,1
of,1
one,1
on,1
that,1
of,1
the,1
other,1
the,1
apes,1
had,1
mostly,1
retreated,1
to,1
the,1
swamps,1
and,1
forests,1
beyond,1
while,1
the,1
new,1
race,1
were,1
occupying,1
the,1
region,1
about,1
cocoanut,1
hill,1
which,1
their,1
ancestors,1
of,1
two,1
generations,1
before,1
had,1
taken,1
after,1
many,1
conflicts,1
from,1
the,1
apes,1
and,1
from,1
which,1
they,1
had,1
driven,1
the,1
savage,1
beasts,1
here,1
the,1
parents,1
of,1
sosee,1
were,1
living,1
and,1
here,1
sosee,1
had,1
grown,1
to,1
womanhood,1
the,1
cocoanut,1
hill,1
region,1
was,1
a,1
large,1
tract,1
in,1
what,1
is,1
now,1
southern,1
