kill,1
off,1
the,1
non,1
combatants,1
as,1
they,1
would,1
eat,1
all,1
the,1
cocoanuts,1
before,1
the,1
warriors,1
should,1
return,1
and,1
perhaps,1
not,1
let,1
the,1
latter,1
again,1
have,1
possession,1
of,1
their,1
homes,1
you,1
greedy,1
ape,1
replied,1
one,1
to,1
this,1
suggestion,1
you,1
have,1
not,1
yourself,1
gathered,1
all,1
the,1
fruit,1
you,1
now,1
have,1
you,1
took,1
some,1
from,1
others,1
dens,1
i,1
saw,1
in,1
your,1
hole,1
a,1
wedge,1
which,1
i,1
made,1
for,1
myself,1
and,1
a,1
marrow,1
bone,1
sharpened,1
by,1
a,1
woman,1
you,1
would,1
now,1
like,1
to,1
kill,1
them,1
lest,1
they,1
get,1
back,1
what,1
you,1
stole,1
from,1
them,1
at,1
this,1
the,1
avaricious,1
ape,1
oko,1
threw,1
a,1
cocoanut,1
shell,1
at,1
the,1
speaker,1
but,1
took,1
care,1
that,1
it,1
was,1
an,1
empty,1
one,1
for,1
he,1
was,1
so,1
economical,1
since,1
he,1
had,1
begun,1
the,1
collection,1
of,1
nuts,1
that,1
he,1
never,1
wasted,1
anything,1
the,1
other,1
threw,1
back,1
a,1
filled,1
cocoanut,1
at,1
him,1
and,1
knocked,1
him,1
down,1
his,1
generosity,1
in,1
using,1
a,1
whole,1
nut,1
served,1
him,1
a,1
good,1
turn,1
for,1
liberality,1
is,1
necessary,1
in,1
war,1
where,1
one,1
may,1
be,1
too,1
stingy,1
even,1
to,1
fight,1
and,1
lose,1
a,1
battle,1
because,1
he,1
begrudges,1
the,1
price,1
of,1
the,1
weapon,1
oko,1
picked,1
up,1
the,1
cocoanut,1
and,1
kept,1
it,1
the,1
ammi,1
now,1
expected,1
a,1
desperate,1
struggle,1
between,1
the,1
two,1
men,1
but,1
one,1
being,1
satisfied,1
with,1
his,1
victory,1
and,1
the,1
other,1
with,1
his,1
gain,1
they,1
parted,1
one,1
going,1
off,1
with,1
an,1
air,1
of,1
triumph,1
and,1
the,1
other,1
with,1
a,1
cocoanut,1
other,1
disputes,1
arose,1
over,1
various,1
details,1
in,1
the,1
conduct,1
of,1
the,1
war,1
but,1
none,1
broke,1
out,1
into,1
violence,1
whose,1
girl,1
will,1
sosee,1
be,1
if,1
we,1
get,1
her,1
back,1
asked,1
one,1
mine,1
replied,1
koree,1
defiantly,1
are,1
we,1
all,1
to,1
fight,1
and,1
only,1
one,1
to,1
get,1
the,1
advantage,1
of,1
it,1
asked,1
another,1
you,1
must,1
fight,1
retorted,1
koree,1
or,1
you,1
will,1
lose,1
all,1
you,1
have,1
the,1
restoration,1
of,1
my,1
girl,1
means,1
the,1
protection,1
of,1
yours,1
if,1
i,1
capture,1
her,1
replied,1
a,1
third,1
neither,1
koree,1
nor,1
any,1
one,1
else,1
will,1
get,1
her,1
a,1
girl,1
like,1
a,1
cocoanut,1
belongs,1
to,1
whomsoever,1
gets,1
her,1
whoever,1
gets,1
her,1
replied,1
koree,1
will,1
get,1
a,1
broken,1
head,1
if,1
he,1
does,1
not,1
restore,1
her,1
to,1
me,1
it,1
was,1
now,1
feared,1
that,1
this,1
altercation,1
would,1
lead,1
to,1
a,1
civil,1
war,1
before,1
the,1
foreign,1
war,1
should,1
commence,1
when,1
the,1
thoughts,1
of,1
the,1
company,1
were,1
turned,1
by,1
the,1
suggestion,1
of,1
oko,1
the,1
stingy,1
fellow,1
mentioned,1
that,1
the,1
lali,1
had,1
doubtless,1
acquired,1
some,1
possessions,1
so,1
that,1
they,1
would,1
all,1
return,1
laden,1
with,1
the,1
spoils,1
of,1
war,1
if,1
it,1
were,1
not,1
so,1
he,1
added,1
i,1
would,1
not,1
fight,1
at,1
all,1
perhaps,1
suggested,1
one,1
of,1
the,1
young,1
men,1
there,1
are,1
also,1
some,1
pretty,1
apes,1
among,1
them,1
so,1
that,1
instead,1
of,1
one,1
girl,1
we,1
may,1
bring,1
back,1
many,1
enough,1
for,1
all,1
sosee,1
must,1
be,1
recovered,1
first,1
said,1
koree,1
when,1
i,1
will,1
help,1
you,1
to,1
catch,1
all,1
the,1
rest,1
some,1
however,1
could,1
not,1
be,1
made,1
to,1
understand,1
what,1
the,1
war,1
was,1
for,1
i,1
can,1
see,1
no,1
cocoanuts,1
in,1
it,1
said,1
one,1
i,1
don,1
t,1
want,1
my,1
eyes,1
scratched,1
out,1
added,1
another,1
who,1
had,1
lately,1
become,1
interested,1
in,1
a,1
girl,1
who,1
was,1
sitting,1
beside,1
him,1
nor,1
do,1
i,1
want,1
her,1
injured,1
who,1
knows,1
asked,1
a,1
third,1
if,1
we,1
shall,1
ever,1
meet,1
again,1
i,1
fear,1
we,1
shall,1
lose,1
this,1
place,1
and,1
lose,1
one,1
another,1
why,1
did,1
koree,1
lose,1
his,1
